Name,Artist,Album,Genre,Length,Path,UID 
Winterlong,Neil Young,Decade (CD2),Rock,3:8,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1977 - Decade (2CD)\CD2\13 - Winterlong.mp3,12
Deep Forbidden Lake,Neil Young,Decade (CD2),Rock,3:41,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1977 - Decade (2CD)\CD2\14 - Deep Forbidden Lake.mp3,13
Like A Hurricane,Neil Young,Decade (CD2),Rock,8:18,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1977 - Decade (2CD)\CD2\15 - Like A Hurricane.mp3,14
Love Is A Rose,Neil Young,Decade (CD2),Rock,2:16,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1977 - Decade (2CD)\CD2\16 - Love Is A Rose.mp3,15
Cortez The Killer,Neil Young,Decade (CD2),Rock,7:32,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1977 - Decade (2CD)\CD2\17 - Cortez The Killer.mp3,16
Campaigner,Neil Young,Decade (CD2),Rock,3:30,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1977 - Decade (2CD)\CD2\18 - Campaigner.mp3,17
Long May You Run,Neil Young,Decade (CD2),Rock,3:48,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1977 - Decade (2CD)\CD2\19 - Long May You Run.mp3,18
Goin' Back,Neil Young,Comes A Time,Rock,4:39,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1978 - Comes A Time\01 - Goin' Back.mp3,0
Comes A Time,Neil Young,Comes A Time,Rock,3:9,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1978 - Comes A Time\02 - Comes A Time.mp3,1
Look Out For My Love,Neil Young,Comes A Time,Rock,4:5,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1978 - Comes A Time\03 - Look Out For My Love.mp3,2
Lotta Love,Neil Young,Comes A Time,Rock,2:38,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1978 - Comes A Time\04 - Lotta Love.mp3,3
Peace Of Mind,Neil Young,Comes A Time,Rock,4:8,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1978 - Comes A Time\05 - Peace Of Mind.mp3,4
Human Highway,Neil Young,Comes A Time,Rock,3:13,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1978 - Comes A Time\06 - Human Highway.mp3,5
Already One,Neil Young,Comes A Time,Rock,4:54,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1978 - Comes A Time\07 - Already One.mp3,6
Field Of Opportunity,Neil Young,Comes A Time,Rock,3:9,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1978 - Comes A Time\08 - Field Of Opportunity.mp3,7
Motorcycle Mama,Neil Young,Comes A Time,Rock,3:11,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1978 - Comes A Time\09 - Motorcycle Mama.mp3,8
Four Strong Winds,Neil Young,Comes A Time,Rock,4:6,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1978 - Comes A Time\10 - Four Strong Winds.mp3,9
Sugar Mountain,Neil Young,Live Rust,Rock,5:3,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\01 - Sugar Mountain.mp3,0
I Am A Child,Neil Young,Live Rust,Rock,3:0,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\02 - I Am A Child.mp3,1
Comes A Time,Neil Young,Live Rust,Rock,3:15,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\03 - Comes A Time.mp3,2
After The Goldrush,Neil Young,Live Rust,Rock,3:48,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\04 - After The Goldrush.mp3,3
"My My, Hey Hey (Out Of The Blue)",Neil Young,Live Rust,Rock,4:12,"C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\05 - My My, Hey Hey (Out Of The Blue).mp3",4
When You Dance I Can Really Love,Neil Young,Live Rust,Rock,3:42,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\06 - When You Dance I Can Really Love.mp3,5
The Loner,Neil Young,Live Rust,Rock,4:52,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\07 - The Loner.mp3,6
The Needle And The Damage Done,Neil Young,Live Rust,Rock,3:6,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\08 - The Needle And The Damage Done.mp3,7
Lotta Love,Neil Young,Live Rust,Rock,2:51,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\09 - Lotta Love.mp3,8
Sedan Delivery,Neil Young,Live Rust,Rock,4:50,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\10 - Sedan Delivery.mp3,9
Powderfinger,Neil Young,Live Rust,Rock,5:44,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\11 - Powderfinger.mp3,10
Cortez The Killer,Neil Young,Live Rust,Rock,6:19,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\12 - Cortez The Killer.mp3,11
Cinnamon Girl,Neil Young,Live Rust,Rock,3:22,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\13 - Cinnamon Girl.mp3,12
Like A Hurricane,Neil Young,Live Rust,Rock,8:3,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\14 - Like A Hurricane.mp3,13
"Hey Hey, My My (Into The Black)",Neil Young,Live Rust,Rock,4:37,"C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\15 - Hey Hey, My My (Into The Black).mp3",14
Tonight's The Night,Neil Young,Live Rust,Rock,7:13,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Live Rust\16 - Tonight's The Night.mp3,15
"My My, Hey Hey (Out Of The Blue)",Neil Young & Crazy Horse,Rust Never Sleeps,Rock,3:45,"C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Rust Never Sleeps\01 - My My, Hey Hey (Out Of The Blue).mp3",0
Thrasher,Neil Young & Crazy Horse,Rust Never Sleeps,Rock,5:42,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Rust Never Sleeps\02 - Thrasher.mp3,1
Ride My Llama,Neil Young & Crazy Horse,Rust Never Sleeps,Rock,2:31,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Rust Never Sleeps\03 - Ride My Llama.mp3,2
Pocahontas,Neil Young & Crazy Horse,Rust Never Sleeps,Rock,3:23,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Rust Never Sleeps\04 - Pocahontas.mp3,3
Sail Away,Neil Young & Crazy Horse,Rust Never Sleeps,Rock,3:48,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Rust Never Sleeps\05 - Sail Away.mp3,4
Powderfinger,Neil Young & Crazy Horse,Rust Never Sleeps,Rock,5:33,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Rust Never Sleeps\06 - Powderfinger.mp3,5
Welfare Mothers,Neil Young & Crazy Horse,Rust Never Sleeps,Rock,3:50,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Rust Never Sleeps\07 - Welfare Mothers.mp3,6
Sedan Delivery,Neil Young & Crazy Horse,Rust Never Sleeps,Rock,4:39,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Rust Never Sleeps\08 - Sedan Delivery.mp3,7
"Hey Hey, My My (Into The Black)",Neil Young & Crazy Horse,Rust Never Sleeps,Rock,5:16,"C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1979 - Rust Never Sleeps\09 - Hey Hey, My My (Into The Black).mp3",8
Little Wing,Neil Young,Hawks & Doves,Rock,2:15,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1980 - Hawks And Doves\01 - Little Wing.mp3,0
The Old Homestead,Neil Young,Hawks & Doves,Rock,7:43,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1980 - Hawks And Doves\02 - The Old Homestead.mp3,1
Lost in Space,Neil Young,Hawks & Doves,Rock,4:21,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1980 - Hawks And Doves\03 - Lost in Space.mp3,2
Captain Kennedy,Neil Young,Hawks & Doves,Rock,2:59,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1980 - Hawks And Doves\04 - Captain Kennedy.mp3,3
Stayin' Power,Neil Young,Hawks & Doves,Rock,2:22,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1980 - Hawks And Doves\05 - Stayin' Power.mp3,4
Coastline,Neil Young,Hawks & Doves,Rock,2:30,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1980 - Hawks And Doves\06 - Coastline.mp3,5
Union Man,Neil Young,Hawks & Doves,Rock,2:13,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1980 - Hawks And Doves\07 - Union Man.mp3,6
Comin' Apart at Every Nail,Neil Young,Hawks & Doves,Rock,2:40,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1980 - Hawks And Doves\08 - Comin' Apart at Every Nail.mp3,7
Hawks & Doves,Neil Young,Hawks & Doves,Rock,3:28,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1980 - Hawks And Doves\09 - Hawks & Doves.mp3,8
Op-er-a Star,Neil Young & Crazy Horse,Re-ac-tor,Rock,3:33,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1981 - Re-ac-tor\01 - Op-er-a Star.mp3,0
Surf-er Joe And Moe The Sleaze,Neil Young & Crazy Horse,Re-ac-tor,Rock,4:19,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1981 - Re-ac-tor\02 - Surf-er Joe And Moe The Sleaze.mp3,1
T-Bone,Neil Young & Crazy Horse,Re-ac-tor,Rock,9:15,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1981 - Re-ac-tor\03 - T-Bone.mp3,2
Get Back On It,Neil Young & Crazy Horse,Re-ac-tor,Rock,2:19,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1981 - Re-ac-tor\04 - Get Back On It.mp3,3
South-ern Pac-i-fic,Neil Young & Crazy Horse,Re-ac-tor,Rock,4:12,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1981 - Re-ac-tor\05 - South-ern Pac-i-fic.mp3,4
Mo-tor Cit-y,Neil Young & Crazy Horse,Re-ac-tor,Rock,3:12,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1981 - Re-ac-tor\06 - Mo-tor Cit-y.mp3,5
Rap-id Tran-sit,Neil Young & Crazy Horse,Re-ac-tor,Rock,4:38,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1981 - Re-ac-tor\07 - Rap-id Tran-sit.mp3,6
Shots,Neil Young & Crazy Horse,Re-ac-tor,Rock,7:40,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1981 - Re-ac-tor\08 - Shots.mp3,7
Little Thing Called Love,Neil Young,Trans,Rock,3:12,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1982 - Trans\01 - Little Thing Called Love.mp3,0
Computer Age,Neil Young,Trans,Rock,5:25,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1982 - Trans\02 - Computer Age.mp3,1
We R In Control,Neil Young,Trans,Rock,3:32,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1982 - Trans\03 - We R In Control.mp3,2
Transformer Man,Neil Young,Trans,Rock,3:23,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1982 - Trans\04 - Transformer Man.mp3,3
Computer Cowboy,Neil Young,Trans,Rock,4:13,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1982 - Trans\05 - Computer Cowboy.mp3,4
Hold On To Your Love,Neil Young,Trans,Rock,3:28,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1982 - Trans\06 - Hold On To Your Love.mp3,5
Sample And Hold,Neil Young,Trans,Rock,8:4,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1982 - Trans\07 - Sample And Hold.mp3,6
Mr. Soul,Neil Young,Trans,Rock,3:19,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1982 - Trans\08 - Mr. Soul.mp3,7
Like An Inca,Neil Young,Trans,Rock,9:46,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1982 - Trans\09 - Like An Inca.mp3,8
Betty Lou's Got A New Pair Of Shoes,Neil Young & the Shocking Pinks,Everybody's Rockin',Rock & Roll,3:0,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1983 - Everybody's Rockin'\01 - Betty Lou's Got A New Pair Of Shoes.mp3,0
Rainin' In My Heart,Neil Young & the Shocking Pinks,Everybody's Rockin',Rock & Roll,2:13,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1983 - Everybody's Rockin'\02 - Rainin' In My Heart.mp3,1
Payola Blues,Neil Young & the Shocking Pinks,Everybody's Rockin',Rock & Roll,3:8,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1983 - Everybody's Rockin'\03 - Payola Blues.mp3,2
Wonderin',Neil Young & the Shocking Pinks,Everybody's Rockin',Rock & Roll,2:56,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1983 - Everybody's Rockin'\04 - Wonderin'.mp3,3
Kinda Fonda Wanda,Neil Young & the Shocking Pinks,Everybody's Rockin',Rock & Roll,1:51,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1983 - Everybody's Rockin'\05 - Kinda Fonda Wanda.mp3,4
Jellyroll Man,Neil Young & the Shocking Pinks,Everybody's Rockin',Rock & Roll,2:0,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1983 - Everybody's Rockin'\06 - Jellyroll Man.mp3,5
"Bright Lights, Big City",Neil Young & the Shocking Pinks,Everybody's Rockin',Rock & Roll,2:18,"C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1983 - Everybody's Rockin'\07 - Bright Lights, Big City.mp3",6
"Cry, Cry, Cry",Neil Young & the Shocking Pinks,Everybody's Rockin',Rock & Roll,2:40,"C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1983 - Everybody's Rockin'\08 - Cry, Cry, Cry.mp3",7
Mystery Train,Neil Young & the Shocking Pinks,Everybody's Rockin',Rock & Roll,2:45,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1983 - Everybody's Rockin'\09 - Mystery Train.mp3,8
Everybody's Rockin',Neil Young & the Shocking Pinks,Everybody's Rockin',Rock & Roll,1:57,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1983 - Everybody's Rockin'\10 - Everybody's Rockin'.mp3,9
The Wayward Wind,Neil Young,Old Ways,Rock,3:13,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1985 - Old Ways\01 - The Wayward Wind.mp3,0
Get Back To The Country,Neil Young,Old Ways,Rock,2:51,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1985 - Old Ways\02 - Get Back to the Country.mp3,1
Are There Any More Real Cowboys?,Neil Young,Old Ways,Rock,3:8,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1985 - Old Ways\03 - Are There Any More Real Cowboys.mp3,2
Once An Angel,Neil Young,Old Ways,Rock,3:56,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1985 - Old Ways\04 - Once an Angel.mp3,3
Misfits,Neil Young,Old Ways,Rock,5:8,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1985 - Old Ways\05 - Misfits.mp3,4
California Sunset,Neil Young,Old Ways,Rock,2:57,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1985 - Old Ways\06 - California Sunset.mp3,5
Old Ways,Neil Young,Old Ways,Rock,3:8,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1985 - Old Ways\07 - Old Ways.mp3,6
My Boy,Neil Young,Old Ways,Rock,3:38,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1985 - Old Ways\08 - My Boy.mp3,7
Bound For Glory,Neil Young,Old Ways,Rock,5:50,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1985 - Old Ways\09 - Bound for Glory.mp3,8
Where Is The Highway Tonight,Neil Young,Old Ways,Rock,3:5,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1985 - Old Ways\10 - Where is the Highway Tonight.mp3,9
Weight of the World,Neil Young,Landing On The Water,Rock,3:38,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1986 - Landing On Water\01 - Weight of the World.mp3,0
Violent Side,Neil Young,Landing On The Water,Rock,4:18,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1986 - Landing On Water\02 - Violent Side.mp3,1
Hippie Dream,Neil Young,Landing On The Water,Rock,4:10,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1986 - Landing On Water\03 - Hippie Dream.mp3,2
Bad News Beat,Neil Young,Landing On The Water,Rock,3:13,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1986 - Landing On Water\04 - Bad News Beat.mp3,3
Touch the Night,Neil Young,Landing On The Water,Rock,4:26,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1986 - Landing On Water\05 - Touch the Night.mp3,4
People on the Street,Neil Young,Landing On The Water,Rock,4:29,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1986 - Landing On Water\06 - People on the Street.mp3,5
Hard Luck Stories,Neil Young,Landing On The Water,Rock,4:4,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1986 - Landing On Water\07 - Hard Luck Stories.mp3,6
I Got a Problem,Neil Young,Landing On The Water,Rock,3:15,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1986 - Landing On Water\08 - I Got a Problem.mp3,7
Pressure,Neil Young,Landing On The Water,Rock,2:42,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1986 - Landing On Water\09 - Pressure.mp3,8
Drifter,Neil Young,Landing On The Water,Rock,5:1,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1986 - Landing On Water\10 - Drifter.mp3,9
Mideaset Vacation,Neil Young and Crazy Horse,Life,Rock,4:22,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1987 - Life\01 - Mideaset Vacation.mp3,0
Long Walk Home,Neil Young and Crazy Horse,Life,Rock,4:57,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1987 - Life\02 - Long Walk Home.mp3,1
Around The World,Neil Young and Crazy Horse,Life,Rock,5:29,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1987 - Life\03 - Around The World.mp3,2
Inca Queen,Neil Young and Crazy Horse,Life,Rock,8:1,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1987 - Life\04 - Inca Queen.mp3,3
Too Lonely,Neil Young and Crazy Horse,Life,Rock,2:49,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1987 - Life\05 - Too Lonely.mp3,4
Prisoners Of Rock 'N' Roll,Neil Young and Crazy Horse,Life,Rock,3:13,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1987 - Life\06 - Prisoners Of Rock 'N' Roll.mp3,5
Cryin' Eyes,Neil Young and Crazy Horse,Life,Rock,2:52,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1987 - Life\07 - Cryin' Eyes.mp3,6
When Your Lonely Heart Breaks,Neil Young and Crazy Horse,Life,Rock,5:18,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1987 - Life\08 - When Your Lonely Heart Breaks.mp3,7
We Never Danced,Neil Young and Crazy Horse,Life,Rock,3:38,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1987 - Life\09 - We Never Danced.mp3,8
Ten Men Workin',Neil Young,This Note's For You,Rock,6:29,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1988 - This Note's For You\01  - Ten Men Workin'.mp3,0
This Note's For You,Neil Young,This Note's For You,Rock,2:6,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1988 - This Note's For You\02  - This Note's For You.mp3,1
Coupe De Ville,Neil Young,This Note's For You,Rock,4:18,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1988 - This Note's For You\03  - Coupe De Ville.mp3,2
Life In The City,Neil Young,This Note's For You,Rock,3:14,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1988 - This Note's For You\04  - Life In The City.mp3,3
Twilight,Neil Young,This Note's For You,Rock,5:54,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1988 - This Note's For You\05  - Twilight.mp3,4
Married Man,Neil Young,This Note's For You,Rock,2:39,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1988 - This Note's For You\06  - Married Man.mp3,5
Sunny Inside,Neil Young,This Note's For You,Rock,2:37,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1988 - This Note's For You\07  - Sunny Inside.mp3,6
Can't Believe Your Lyin',Neil Young,This Note's For You,Rock,2:58,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1988 - This Note's For You\08  - Can't Believe Your Lyin'.mp3,7
Hey Hey,Neil Young,This Note's For You,Rock,3:5,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1988 - This Note's For You\09  - Hey Hey.mp3,8
One Thing,Neil Young,This Note's For You,Rock,6:2,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1988 - This Note's For You\10  - One Thing.mp3,9
Cocaine Eyes,Neil Young & The Restless,Eldorado,Rock,4:26,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1989 - Eldorado\01 - Cocaine Eyes.mp3,0
Don't Cry,Neil Young & The Restless,Eldorado,Rock,5:1,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1989 - Eldorado\02 - Don't Cry.mp3,1
Heavy Love,Neil Young & The Restless,Eldorado,Rock,5:11,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1989 - Eldorado\03 - Heavy Love.mp3,2
On Broadway,Neil Young & The Restless,Eldorado,Rock,4:58,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1989 - Eldorado\04 - On Broadway.mp3,3
Eldorado,Neil Young & The Restless,Eldorado,Rock,6:5,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1989 - Eldorado\05 - Eldorado.mp3,4
Rockin' In The Free World (Acoustic),Neil Young,Freedom,Classic Rock,3:40,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1989 - Freedom\01 - Rockin' In The Free World (Acoustic).mp3,0
Crime In The City (Sixty To Zero Part I),Neil Young,Freedom,Classic Rock,8:45,C:\Users\Devon Welch\Downloads\Neil Young Discography 1968-2007 (44 Albums) (Mp3 320K)\1989 - Freedom\02 - Crime In The City (Sixty To Zero Part I).mp3,1
