Name,Artist,Album,Genre,Length,Path,UID
Moonshatter,Homestuck,Homestuck Vol. 5,Unknown,1:17,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\32 Moonshatter.mp3,7
Land of the Salamanders,Homestuck,Homestuck Vol. 5,Unknown,1:44,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\41 Land of the Salamanders.mp3,8
Medical Emergency,Homestuck,Homestuck Vol. 5,Unknown,2:8,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\42 Medical Emergency.mp3,9
Get Up,Homestuck,Homestuck Vol. 5,Unknown,1:18,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\45 Get Up.mp3,10
The Beginning of Something Really Excellent,Homestuck,Homestuck Vol. 5,Unknown,5:28,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\47 The Beginning of Something Really.mp3,11
Throwdown,Homestuck,Homestuck Vol. 5,Unknown,1:36,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\50 Throwdown.mp3,12
Valhalla,Homestuck,Homestuck Vol. 5,Unknown,3:7,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\52 Valhalla.mp3,13
Light,Homestuck,Homestuck Vol. 5,Unknown,4:27,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\54 Light.mp3,14
Softly,Homestuck,Homestuck Vol. 5,Unknown,3:4,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\55 Softly.mp3,15
Snow Pollen,Homestuck,Homestuck Vol. 5,Unknown,2:10,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Homestuck\Homestuck Vol. 5\59 Snow Pollen.mp3,16
